Deal Id,Product Desc,Prod Type,Sub_Type,Product Extendedtype,Nominal,Trade Currency,Book,CounterParty,TradeStatus,Trade Date,Trade Settle Date,Trader,Entered User,External Reference,Trade Price,Quantity,Notional,Pricer_MV
699296,FXForward/UGX/TZS,FXForward,FXForward,None,-350650,TZS,TZ_FX_Corporate_old,NATIONAL SOCIAL SECURITY FUND-UGANDA,VERIFIED,"Dec 10, 2025 01:01 PM",10-12-2025,NONE,admin,,0.7013,500000,100,350650
699200,FXForward/UGX/TZS,FXForward,FXForward,None,-34565,TZS,TZ_FX_Nostro,NATIONAL SOCIAL SECURITY FUND-UGANDA,VERIFIED,"Dec 10, 2025 10:49 AM",10-12-2025,NONE,admin,,0.6913,50000,1000,34565
699192,FXForward/UGX/TZS,FXForward,FXForward,None,-701300,TZS,TZ_FX_Corporate_old,NATIONAL SOCIAL SECURITY FUND-UGANDA,VERIFIED,"Dec 10, 2025 10:46 AM",10-12-2025,NONE,admin,,0.7013,1000000,2000,701300
698951,FX/USD/TZS,FX,FX,None,246620000,TZS,TZ_FX_Corporate_old,DIY TANZANIA LIMITED,VERIFIED,"Dec 05, 2025 10:57 AM",05-12-2025,Rdmlangwa,gmkama,,2466.2,-100000,3000,-246620000
698938,FXForward/USD/TZS,FXForward,FXForward,None,-665874000,TZS,TZ_FX_Corporate_old,NORTH MARA GOLD MINE LIMITED,VERIFIED,"Dec 05, 2025 10:27 AM",05-12-2025,Rdmlangwa,Rdmlangwa,,2466.2,270000,4000,665874000
698935,FXForward/USD/TZS,FXForward,FXForward,None,394592000,TZS,TZ_FX_Corporate_old,TANGA CEMENT PLC,VERIFIED,"Dec 05, 2025 10:27 AM",05-12-2025,Rdmlangwa,Rdmlangwa,,2441.538,-160000,67890,-390646080
698932,FXForward/UGX/TZS,FXForward,FXForward,None,305460,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 05, 2025 10:27 AM",05-12-2025,Rdmlangwa,Rdmlangwa,,0.665224,-450000,67890,-299350.8
698929,FXForward/USD/TZS,FXForward,FXForward,None,-789184000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 05, 2025 10:27 AM",05-12-2025,Rdmlangwa,Rdmlangwa,,2392.214,320000,67890,765508480
698926,FXForward/KES/TZS,FXForward,FXForward,None,4572336,TZS,TZ_FX_Interbank,BANK OF AFRICA (T) LIMITED,VERIFIED,"Dec 05, 2025 10:27 AM",05-12-2025,Rdmlangwa,Rdmlangwa,,18.289344,-240000,67890,-4389442.56
698921,FXForward/USD/TZS,FXForward,FXForward,None,320606000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 05, 2025 10:27 AM",05-12-2025,Rdmlangwa,Rdmlangwa,,2342.89,-130000,67890,-304575700
698910,FX/USD/TZS,FX,FX,None,-9000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 05, 2025 09:29 AM",10-12-2025,NONE,admin,,2317.80822,3.65,67890,8460.000001
698870,FX/KES/TZS,FX,FX,None,952570000,TZS,TZ_FX_Interbank,BANK OF AFRICA (T) LIMITED,VERIFIED,"Dec 04, 2025 10:43 AM",08-12-2025,phayghaimo,phayghaimo,,17.717802,-50000000,67890,-885890100
698867,FX/UGX/TZS,FX,FX,None,33940000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 04, 2025 10:43 AM",08-12-2025,phayghaimo,phayghaimo,,0.624496,-50000000,67890,-31224800
698862,FX/USD/TZS,FX,FX,None,2466200000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 04, 2025 10:43 AM",08-12-2025,phayghaimo,phayghaimo,,2244.242,-1000000,67890,-2244242000
698857,FX/USD/TZS,FX,FX,None,-2300000000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 04, 2025 10:43 AM",08-12-2025,phayghaimo,phayghaimo,,2070,1000000,67890,2070000000
