Trade Id,Product Description,Product Type,Sub Type,Product Extendedtype,Nominal,Trade Currency,Book,CounterParty,TradeStatus,Trade Date,Trade Settle Date,Trader,Entered User,External Reference,Trade Price,Quantity,Notional,InternalRef
699296,FXForward/UGX/TZS,FXForward,FXForward,None,-350650,TZS,TZ_FX_Corporate,NATIONAL SOCIAL SECURITY FUND-UGANDA,VERIFIED,"Dec 10, 2025 01:01 PM",10 December 2025,NONE,admin,,0.7013,500000,100,699296_TZS
699200,FXForward/UGX/TZS,FXForward,FXForward,None,-34565,TZS,TZ_FX_Nostro,NATIONAL SOCIAL SECURITY FUND-UGANDA,VERIFIED,"Dec 10, 2025 10:49 AM",10 December 2025,NONE,admin,,0.6913,50000,1000,699200_TZS
699192,FXForward/UGX/TZS,FXForward,FXForward,None,-701300,TZS,TZ_FX_Corporate,NATIONAL SOCIAL SECURITY FUND-UGANDA,VERIFIED,"Dec 10, 2025 10:46 AM",10 December 2025,NONE,admin,,0.7013,1000000,2000,699192_TZS
698951,FX/USD/TZS,FX,FX,None,246620000,TZS,TZ_FX_Corporate,DIY TANZANIA LIMITED,VERIFIED,"Dec 05, 2025 10:57 AM",05 December 2025,Rdmlangwa,gmkama,,2466.2,-100000,3000,698951_TZS
698938,FXForward/USD/TZS,FXForward,FXForward,None,-665874000,TZS,TZ_FX_Corporate,NORTH MARA GOLD MINE LIMITED,VERIFIED,"Dec 05, 2025 10:27 AM",05 December 2025,Rdmlangwa,rdmlangwa,,2466.2,270000,4000,698938_TZS
698935,FXForward/USD/TZS,FXForward,FXForward,None,394592000,TZS,TZ_FX_Corporate,TANGA CEMENT PLC,VERIFIED,"Dec 05, 2025 10:27 AM",05 December 2025,Rdmlangwa,rdmlangwa,,2466.2,-160000,67890,698935_TZS
698932,FXForward/UGX/TZS,FXForward,FXForward,None,305460,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 05, 2025 10:27 AM",05 December 2025,Rdmlangwa,rdmlangwa,,0.6788,-450000,67890,698932_TZS
698929,FXForward/USD/TZS,FXForward,FXForward,None,-789184000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 05, 2025 10:27 AM",05 December 2025,Rdmlangwa,rdmlangwa,,2466.2,320000,67890,698929_TZS
698926,FXForward/KES/TZS,FXForward,FXForward,None,4572336,TZS,TZ_FX_Interbank,BANK OF AFRICA (T) LIMITED,VERIFIED,"Dec 05, 2025 10:27 AM",05 December 2025,Rdmlangwa,rdmlangwa,,19.0514,-240000,67890,698926_TZS
698921,FXForward/USD/TZS,FXForward,FXForward,None,320606000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 05, 2025 10:27 AM",05 December 2025,Rdmlangwa,rdmlangwa,,2466.2,-130000,67890,698921_TZS
698910,FX/USD/TZS,FX,FX,None,-9000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 05, 2025 09:29 AM",10 December 2025,NONE,admin,,2465.753425,3.65,67890,698910_TZS
698870,FX/KES/TZS,FX,FX,None,952570000,TZS,TZ_FX_Interbank,BANK OF AFRICA (T) LIMITED,VERIFIED,"Dec 04, 2025 10:43 AM",08 December 2025,phayghaimo,phayghaimo,,19.0514,-50000000,67890,698870_TZS
